idMLL	id	Type	Sub	Ori	LblEN	LblLNG	LastUpd	LastUpdTrad	User	Lng
1	9	Cvg	Nnn	TbAct	Regional	Regionalny	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
3	15	Cvg	Nnn	TbAct	European	Europejski	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
5	21	Cvg	Nnn	TbAct	Global	Globalny	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
7	30	Eta	Prd	TbAct	Marketing authorization without orphan designation	Dopuszczony do obrotu bez desygnacji sierocej	2009-10-01 10:53:00	2018-04-12	dkarczma	pl	
9	36	Eta	Prd	TbAct	Marketing authorisation withdrawn	Dopuszczenie do obrotu wycofane	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
11	42	Eta	Prd	TbAct	Compassionate use	Humanitarne stosowanie leku	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
13	48	Phs	Nnn	TbAct	I	I	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
15	54	Phs	Nnn	TbAct	I - II	I - II	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
17	60	Phs	Nnn	TbAct	II	II	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
19	66	Phs	Nnn	TbAct	II - III	II - III	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
21	72	Phs	Nnn	TbAct	III	III	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
23	84	Phs	Nnn	TbAct	IV	IV	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
25	90	Phs	Nnn	TbAct	bioequivalence	biorównoważność	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
27	96	Rct	Nnn	TbAct	yes	tak	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
29	102	Rct	Nnn	TbAct	no	nie	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
31	108	Rct	Nnn	TbAct	unknown	nieznany	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
33	211	Abs	Abs	TbPatTxt	Abstract	Abstrakt/Streszczenie	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
35	218	Txt	Gen	TbPatTxt	Practical genetics	Genetyka w praktyce	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
37	226	Txt	Pub	TbPatTxt	Article for general public	Artykuł dla ogółu społeczeństwa	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
39	232	Gnr	Nnn	TbPrs	Male	Mężczyzna	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
41	238	Gnr	Nnn	TbPrs	Female	Kobieta	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
43	244	Gnr	Nnn	TbPrs	unknown	nieznany	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
45	250	Ttl	Nnn	TbPrs	Dr	Dr	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
47	256	Ttl	Nnn	TbPrs	Pr	Prof.	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
49	262	Ttl	Nnn	TbPrs	unknown	nieznany	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
51	268	Sta	Nnn	TbQlt	on-going	trwa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
53	274	Sta	Nnn	TbQlt	effective	efektywny	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
55	280	Typ	Acc	TbQlt	Accreditation	Akredytacja	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
57	288	Typ	Lic	TbQlt	Licensing		2009-09-19 22:27:00		BUedit	pl	
59	294	Lic	Nnn	TbQlt	Licensing for prenatal testing in haematology		2012-02-24 09:53:00		hanauer	pl	
61	300	Lic	Nnn	TbQlt	Licensing for prenatal testing in immunology		2012-02-24 09:53:00		hanauer	pl	
63	306	Lic	Nnn	TbQlt	Licensing for prenatal testing in cytogenetics		2012-02-24 09:53:00		hanauer	pl	
65	312	Lic	Nnn	TbQlt	Licensing for prenatal testing in biochemistry		2012-02-24 09:53:00		hanauer	pl	
