idClassification	HchId	ORPHA	LblEN	LblLNG	Lng	LastUpd	LastUpdTrad	User
1	4	117285	Panel classif	Klasyfikacja panelowa	pl	2016-03-21 10:45:00	2018-04-12 16:57:00	dkarczma	
3	40	117357	Classification of rare cardiac diseases (Functional)	Klasyfikacja rzadkich chorób serca (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
5	41	117359	Classification of rare gastroenterologic diseases (Functional)	Klasyfikacja rzadkich chorób gastroenterologicznych (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
7	42	117361	Classification of rare surgical digestive diseases (Functional)	Klasyfikacja rzadkich chorób układu pokarmowego poddawanych operacjom chirurgicznym (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
9	43	117363	Classification of rare hepatic diseases (Functional)	Klasyfikacja rzadkich chorób wątroby (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
11	44	117365	Classification of rare respiratory diseases (Functional)	Klasyfikacja rzadkich chorób układu oddechowego (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
13	45	117367	Classification of rare surgical thoracic diseases (Functional)	Klasyfikacja rzadkich chorób klatki piersiowej poddawanych operacjom chirurgicznym (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
15	46	117369	Classification of rare surgical cardiac diseases (Functional)	Klasyfikacja rzadkich chorób serca poddawanych operacjom chirurgicznym (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
17	47	117371	Classification of rare skin diseases (Functional)	Klasyfikacja rzadkich chorób skóry (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
19	48	117373	Classification of rare eye diseases (Functional)	Klasyfikacja rzadkich chorób oczu (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
21	49	117375	Classification of rare renal diseases (Functional)	Klasyfikacja rzadkich chorób nerek (Funkcjonalna)	pl	2013-05-28 16:06:00	2018-04-12 16:57:00	dkarczma	
