idTextInfo	TxtId	PatId	PatORPHA	SectId	TxtLNG	Lng	LastUpd	LastUpdTrad	User	online	DisplayDate
161	101278	61	480	16907	Zespół Kearnsa i Sayre'a (KSS) jest chorobą mitochondrialną, charakteryzującą się zespołem postępującej zewnętrznej oftalmoplegii (PEO), zwyrodnieniem barwnikowym siatkówki  i początkiem w wieku poniżej 20 lat. Często występujące cechy dodatkowe to głuchota, ataksja móżdżkowa i blok przewodnictwa sercowego.	pl	2018-03-27 13:45:00	2018-05-20 13:02:00	PolandTeam	y	2014-10-01 00:00:00	
281	101284	99	892	16907	Choroba von Hippela i Lindau’a (VHL) to zespół rodzinnej predyspozycji do nowotworów związany z różnego rodzaju złośliwymi i łagodnymi guzami, najczęściej siatkówki, móżdżku oraz naczyniakiem zarodkowym rdzenia, rakiem nerkowokomórkowym (RCC) i guzem chromochłonnym.	pl	2018-03-27 13:45:00	2018-05-13 20:03:00	PolandTeam	y	2012-04-01 00:00:00	
361	101288	123	534	16907	Zespół oczno-mózgowo-nerkowy Lowe’a (Oculocerebrorenal syndrome of Lowe – OCRL) to zaburzenie wieloukładowe charakteryzujące się zaćmą wrodzoną, jaskrą, niepełnosprawnością intelektualną, postnatalnym opóźnieniem wzrostu oraz dysfunkcją kanalików nerkowych z przewlekłą niewydolnością nerek.	pl	2018-03-27 13:45:00	2018-05-20 17:56:00	PolandTeam	y	2015-10-01 00:00:00	
689	101304	177	16	16907	Monochromacja czopka niebieskiego jest chorobą sprzężoną z chromosomem X w sposób recesywny i charakteryzuje się zaburzeniami rozróżniania kolorów, obniżoną ostrością wzroku, oczopląsem i wrażliwością na światło, objawami, które powstały w wyniku dysfunkcji fotoreceptorów czopków  czerwonych (L) i zielonych (M). Monochromacja czopka niebieskiego jest niekompletną formą achromatopsji. 	pl	2018-03-27 13:46:00	2018-05-06 19:54:00	PolandTeam	y	2013-08-01 00:00:00	
729	101306	192	640	16907	Dziedziczna neuropatia ze skłonnością do porażeń z ucisku (HNPP) jest dziedziczną chorobą nerwów obwodowych, która charakteryzuje się powtarzającą się mononeuropatią, zazwyczaj wywołaną przez, nawet niedużą, aktywność fizyczną.	pl	2018-03-27 13:46:00	2018-05-06 19:39:00	PolandTeam	y	2013-09-01 00:00:00	
909	101315	246	195	16907	Zespół kociego oka (Cat eye syndrome – CES) to rzadkie zaburzenie chromosomalne z bardzo zmiennym obrazem klinicznym. Większość pacjentów ma mnogie wady oczu (rozszczep tęczówki), uszu (dołki i(lub) wyrostki przeduszne), okolicy odbytu (atrezja odbytu), serca i nerek. Niepełnosprawność intelektualna jest najczęściej łagodna lub na granicy normy.	pl	2018-03-27 13:46:00	2018-05-20 14:31:00	PolandTeam	y	2016-01-01 00:00:00	
969	101318	261	87	16907	Zespół Aperta (AS) jest częstą postacią akrocefalosyndaktylii (zob. to hasło), dziedzicznych zaburzeń wrodzonych wad rozwojowych, charakteryzujących się kraniosynostozą, hipoplazją środkowej części twarzy oraz anomaliami i(lub) syndaktylią palców u rąk i nóg.	pl	2018-03-27 13:46:00	2018-05-13 19:23:00	PolandTeam	y	2014-10-01 00:00:00	
1109	101324	293	861	16907	Zespół Treachera i Collinsa to wrodzone zaburzenie rozwoju twarzoczaszki charakteryzujące się obustronną symetryczną dysplazją uszno-żuchwową. 	pl	2018-03-27 13:46:00	2018-05-13 19:38:00	PolandTeam	y	2011-05-01 00:00:00	
1129	101325	299	199	16907	Zespół Cornelii de Lange (Cornelia de Lange syndrome – CdLS) to wieloukładowe schorzenie ze zmienną ekspresją z charakterystyczną dysmorfią twarzy, niepełnosprawnością intelektualną o zmiennym nasileniu, zanacznym opóźnieniem wzrostu, które rozpoczyna się w okresie prenatalnym (drugi trymestr), nieprawidłowym wyglądem dłoni i stóp (oligodaktylia lub czasami nawet brakiem, ze stałą brachymetakarpią pierwszej kości śródręcza) oraz innymi wadami (serca, nerek itp.).	pl	2018-03-27 13:46:00	2018-05-20 17:45:00	PolandTeam	y	2009-02-01 00:00:00	
1309	101331	402	22	16907	Niedobór dehydrogenazy semialdehydu bursztynowego (Succinic semialdehyde dehydrogenase – SSADH) to rzadkie zaburzenie neurometaboliczne metabolizmu kwasu gamma-aminomasłowego (GABA) o niespecyficznym przebiegu klinicznym (od łagodnego do ciężkiego), w którym do najcięższych objawów należą zaburzenia poznawcze z wyraźnym deficytem ekspresji mowy, hipotonia, ataksja, padaczka oraz zaburzenia zachowania.	pl	2018-03-27 13:46:00	2018-05-20 14:47:00	PolandTeam	y	2016-02-01 00:00:00	
1389	101335	411	56	16907	Alkaptonuria jest chorobą metaboliczną, charakteryzującą się nagromadzeniem kwasu homogentyzynowego (HGA) i jego produktu utleniania, benzochinonu kwasu octowego (BQA) w różnych tkankach (np. chrząstkach, tkance łącznej) i płynach ustrojowych (moczu, pocie), co powoduje ciemnienie moczu na powietrzu, jak również szaroniebieskie zabarwienie twardówki i obrąbka małżowiny usznej (ochronoza) oraz zmiany zwyrodnieniowe stawów, obejmujące zarówno osiowe jak i stawy obwodowe (artropatia ochronotyczna).  	pl	2018-03-27 13:46:00	2018-05-13 19:20:00	PolandTeam	y	2014-10-01 00:00:00	
1569	101342	472	235	16907	Zespół Dubowitza to rzadki zespół wad wrodzonych charakteryzujący się przede wszystkim opóźnieniem wzrostu, mikrocefalią, specyficzną dysmorfią twarzy, wypryskiem skórnym, łagodną do ciężkiej niepełnosprawnością intelektualną oraz nieprawidłowościami zewnętrznych narządów płciowych.	pl	2018-03-27 13:46:00	2018-05-20 17:50:00	PolandTeam	y	2014-06-01 00:00:00	
1669	101346	546	2635	16907	Dysplazja zmienna typu 1 jest rzadką spondyloepimetafyzealną dysplazją charakteryzującą się długim tułowiem i krótkimi kończynami w okresie niemowlęcym, po czym rozwija się znaczna i postępująca kifoskolioza, powodując odwrócenie proporcji ciała w dzieciństwie (skrócenie tułowia i relatywne wydłużenie kończyn) i końcowy niski wzrost w wieku dorosłym.	pl	2018-03-27 13:47:00	2018-05-20 10:36:00	PolandTeam	y	2014-01-01 00:00:00	
1689	101347	547	2655	16907	Dysplazja tanatoforyczna (TD) jest ciężką i uogólnioną letalną dysplazją szkieletową obecną w okresie prenatalnym i charakteryzującą się skróceniem kończyn, wielkogłowiem, wąską klatką piersiową i odrębnym wyglądem twarzy. Wyróżnia się typ I (TD1) i typ II (TD2) (zobacz te terminy), które można odróżnić poprzez kształt kości podudzi oraz czaszki.	pl	2018-03-27 13:47:00	2018-05-06 18:43:00	PolandTeam	y	2013-10-01 00:00:00	
1829	101353	604	3447	16907	Zespół Weavera (Weaver syndrome-WVS) to rzadka, wieloukładowa choroba charakteryzująca się wyskim wzrostem, typowym wyglądem twarzy (hiperteloryzm, retrognacja) i zmienną niepełnosprawnością intelektualna. Dodatkowe objawy mogą obejmować kamptodaktylię, miękką, ciastowatą skórę, przepuklinę pępkową oraz niski, chrapliwy głos.	pl	2018-03-27 13:47:00	2018-05-20 14:40:00	PolandTeam	y	2016-01-01 00:00:00	
1949	101359	638	191	16907	Zespół  Cockayne’a (Cockayne syndrome – CS) to choroba wieloukładowa charakteryzująca się niskim wzrostem, charakterystycznym wyglądem twarzy, przedwczesnym starzeniem, wrażliwością na światło, postępującą dysfunkcją neurologiczną i niepełnosprawnością intelektualną.	pl	2018-03-27 13:47:00	2018-05-13 20:12:00	PolandTeam	y	2009-05-01 00:00:00	
2069	101365	662	886	16907	Zespół Ushera (Usher syndrome – US) charakteryzuje się połączeniem głuchoty czuciowo-nerwowej (najczęściej wrodzonej) z barwnikowym zwyrodnieniem siatkówki i postępującą utratą wzroku.	pl	2018-03-27 13:47:00	2018-04-13 13:14:00	PolandTeam	y	2009-02-01 00:00:00	
2129	101368	665	244	16907	Pierwotna dyskineza rzęsek (PCD – primary ciliary dyskinesia) to rzadkie, genetycznie heterogenne, pierwotne zaburzenie układu oddechowego charakteryzujące się przewlekłą chorobą górnych i dolnych dróg oddechowych. U około połowy pacjentów występuje nieprawidłowe ułożenie narządów (całkowite odwrócenie trzewi lub niecałkowite odwrócenie trzewi/heterotaksja; sprawdź te terminy).	pl	2018-03-27 13:47:00	2018-05-04 12:24:00	PolandTeam	y	2014-05-01 00:00:00	
2429	101380	812	3463	16907	Zespół Wolframa, znany także jako DIDMOAD to zaburzenie neurodegeneracyjne charakteryzujące się cukrzycą typu 1 (diabetes mellitus-DM), moczówką prostą (diabetes insipidus-DI), głuchotą czuciowo-nerwową (deafness-D), obustronnym zanikiem nerwów wzrokowych (optical atrophy-OA) oraz objawami neurologicznymi. Do innych pokrewnych problemów należy atonia układu moczowego, ataksja, neuropatia obwodowa, zaburzenia psychiczne i(lub) drgawki. Można wyróżnić 2 typy WS: typ 1 i typ 2 (WS1 i WS2).	pl	2018-03-27 13:48:00	2018-05-13 20:30:00	PolandTeam	y	2014-09-01 00:00:00	
2449	101381	825	1177	16907	Ataksja móżdżkowa o wczesnym początku z zachowanymi odruchami ścięgnistymi (EOCARR) lub ataksja Harding to ataksja móżdżkowa charakteryzująca się postępującym zespołem móżdżkowym i piramidowym z postępującą ataksją móżdżkową, nasilonymi odruchami ścięgnistymi i w niektórych przypadkach utratę czucia głębokiego.	pl	2018-03-27 13:48:00	2018-05-20 11:08:00	PolandTeam	y	2014-01-01 00:00:00	
2709	101953	968	709	16907	Zespół Peters-plus to wady rozwojowe oka, dziedziczone w sposób autosomalny recesywny, charakteryzujące się zmiennym fenotypem, w tym anomalią Petersa oraz innymi anomaliami przedniej komory oka, krótkimi kończynami i nieprawidłową ich budową (tzn. rizomelią i brachydaktylią), charakterystycznymi rysami twarzy (górna warga w kształcie łuku Kupidyna, krótkie szpary powiekowe), rozszczepem wargi/podniebienia oraz łagodnym do ciężkiego opóźnienie w rozwoju/ niepełnosprawnością intelektualną. Inne nieprawidłowości opisywane u niektórych pacjentów obejmują wrodzone wady serca (tzn. niedorozwój lewego serca, brak żyły płucnej prawej, dwupłatkową zastawkę pnia płucnego), anomalie układu moczowo-płciowego (wodonercze, niedorozwój nerek, zdwojenie nerek i moczowodów, dysplazja wielotorbielowata nerek, torbielowatość kłębuszków nerkowych) oraz wrodzoną niedoczynność tarczycy.	pl	2018-03-27 14:01:00	2018-05-20 14:07:00	PolandTeam	y	2014-11-01 00:00:00	
2789	101394	996	184	16907	Cherubizm to rzadka, samoograniczająca się, włóknisto-kostna choroba genetyczna dzieci i młodzieży charakteryzująca się różnego stopnia postępującym obustronnym powiększeniem żuchwy i/lub szczęki, z następstwami klinicznym w ciężkich przypadkach. 	pl	2018-03-27 13:48:00	2018-05-20 11:49:00	PolandTeam	y	2013-11-01 00:00:00	
2889	101398	1039	233	16907	Zespół retrakcji Duane’a (DRS) jest wrodzoną formą zeza charakteryzującą się ograniczeniem ruchu gałek ocznych w płaszczyźnie poziomej, retrakcją gałki ocznej i szpary powiekowej przy próbie przywodzenia. Spowodowany jest zaburzeniem rozwoju nerwu przywodzącego i może prowadzić do amblyopii.	pl	2018-03-27 13:48:00	2018-05-06 18:47:00	PolandTeam	y	2013-10-01 00:00:00	
3129	101960	1247	920	16907	Zespół braku powiek i makrostomii jest niezwykle rzadkim zespołem wad wrodzonych, charakteryzującym się brakiem powiek, makrostomią, nieprawidłową budową ucha zewnętrznego, syndaktylią dłoni i stóp, objawami skórnymi (takimi jak sucha i szorstka skóra czy nadmiar skóry), brakiem włosów lub ich przerzedzeniem, wadami rozwojowymi narządów płciowych oraz opóźnieniem rozwoju (w 2/3 przypadków). Inne zgłaszane objawy to hipoplazja kości policzkowych, brak lub niedorozwój sutków, nieprawidłowości pępka oraz opóźnienia wzrostu. Jest to niezwykle rzadkie zaburzenie, choć zgłoszono kilka przypadków rodzinnych. Obraz kliniczny jest bardzo zbieżny z zespołem Frasera.	pl	2018-03-27 14:01:00	2018-05-20 14:09:00	PolandTeam	y	2015-11-01 00:00:00	
3189	101407	1265	946	16907	Akrocefalosyndaktylia (ACS) to zespół dziedzicznych wrodzonych wad rozwojowych charakteryzujący się kraniosynostozą i zrostem palców u rąk lub nóg, albo występowaniem błony między nimi, często z innymi towarzyszącymi objawami.	pl	2018-03-27 13:48:00	2018-05-13 19:13:00	PolandTeam	y	2014-10-01 00:00:00	
3249	101962	1284	965	16907	Zespół akromegaloidalnego wyglądu twarzy (AFA) to zespół mnogich wad wrodzonych/zespół dysmorficzny, prawdopodobnie dziedziczony w sposób autosomalnie dominujący, charakteryzujący się nasilającym się pogrubianiem rysów twarzy, podobnym do akromegalii (tzn. z przerostem tkanek kostnej i mięśniowej) – pogrubionymi wargami i śluzówką jamy ustnej, dużymi i ciastowatymi rękami oraz, w niektórych przypadkach, opóźnieniem rozwoju. Wydaje się, że zespół AFA należy do spektrum fenotypu, który obejmuje osteochondrodysplazję hipertrichotyczną typu Cantù oraz zespół hipertrichoza - akromegaloidalny wygląd twarzy. 	pl	2018-03-27 14:01:00	2018-05-20 14:05:00	PolandTeam	y	2014-11-01 00:00:00	
3269	101963	1285	966	16907	Zespół hipertrichoza - akromegaloidalny wygląd twarzy (HAFF) jest bardzo rzadkim zespołem mnogich wad wrodzonych, ujawniającym się postępującą wrodzoną hipertrichozą  (grube/gęste owłosienie głowy schodzące na czoło z ogólnie bujniejszym owłosieniem ciała) powiązaną z typowym akromegaloidalnym wyglądem twarzy (grube brwi, wydatna nadoczodołowa część kości czołowych, szeroki grzbiet nosa, przodopochylone nozdrza, długa i duża rynienka nosowa oraz wydatne usta z szerokimi wargami), pojawiającą się w okresie dzieciństwa. Wydaje się, że HAFF jest ze spektrum fenotypów obejmujących zespół akromegaloidalnego wyglądu twarzy i osteochondrodysplazję hipertrichotyczną typu Cantù (zob. te hasła), których kliniczne objawy się pokrywają.	pl	2018-03-27 14:01:00	2018-05-20 14:13:00	PolandTeam	y	2014-11-01 00:00:00	
3289	101410	1289	969	16907	Dysplazja akromikryczna jest rzadko występującą dysplazją, charakteryzującą się niskim wzrostem, małymi dłoniami i stopami, umiarkowaną dysmorfią twarzy i charakterystycznymi zmianami w  obrazie radiologicznym dłoni.	pl	2018-03-27 13:48:00	2018-05-06 19:32:00	PolandTeam	y	2012-06-01 00:00:00	
3389	101412	1328	64	16907	Zespół Alströma (AS - Alström syndrome) to choroba wieloukładowa charakteryzująca się dystrofią czopków i pręcików, utratą słuchu, otyłością, opornością na insulinę i hiperinsulinemią, cukrzycą typu 2, kardiomiopatią rozstrzeniową (dilated cardiomiopathy – DCM; sprawdź ten termin) oraz postępującą dysfunkcją wątroby i nerek.	pl	2018-03-27 13:48:00	2018-05-13 20:08:00	PolandTeam	y	2014-06-01 00:00:00	
3409	101967	1346	1040	16907	Anadysplazja przynasadowa jest bardzo rzadką formą przynasadowych dysplazji, charakteryzującą się niskim wzrostem, mikromelią rizomeliczną oraz umiarkowaną szpotawością nóg, występującą od pierwszych miesięcy życia, która związana jest  z poważnymi zmianami przynasadowymi widocznymi w badaniu radiologicznym (nieregularność, poszerzenie i zacienienie obrysów) kości długich, najbardziej wyraźnymi  w proksymalnych częściach kości udowych, a także uogólnioną osteopenią, która zazwyczaj spontanicznie ustępuje do trzeciego roku życia. Zaobserwowano zmienność fenotypową - ciężkie postaci autosomalnie dominujące oraz łagodniejsze recesywne.	pl	2018-03-27 14:01:00	2018-05-20 14:03:00	PolandTeam	y	2014-11-01 00:00:00	
3429	101968	1408	1131	16907	Dyzostoza żuchwowo-twarzowa sprzężona z chromosomem X jest niezwykle rzadkim zespołem wad wrodzonych, który cechuje małogłowie, niedorozwój kości jarzmowej, skośno dolne ustawienie szpar powiekowych, wysoko wysklepione podniebienie, wyraźnie nisko osadzone i odstające uszy, mikrognatia, niski wzrost, obustronne upośledzenie słuchu oraz niepełnosprawność intelektualna. Zdarzały się dodatkowe cechy, takie jak obustronne wnętrostwo, anomalie zastawek serca, asymetria ciała i klatka piersiowa lejkowata.	pl	2018-03-27 14:01:00	2018-05-20 14:08:00	PolandTeam	y	2014-11-01 00:00:00	
3629	101978	1493	1252	16907	Zespół malformacji powiekowo-nosowo-twarzowej jest rzadkim zespołem malformacji otorynolaryngologicznych i charakteryzuje się typową dysmorfią twarzy, przypominającą maskę, niedrożnością przewodu łzowego, objawami pozapiramidowymi, wadami rozwojowymi palców i niepełnosprawnością intelektualną.	pl	2018-03-27 14:01:00	2018-05-20 10:34:00	PolandTeam	y	2014-01-01 00:00:00	
3849	101984	1544	1321	16907	Kamptodaktylia - hiperplazja tkanki włóknistej - dysplazja szkieletowa jest to bardzo rzadki zespół malformacji chondrodysplastycznej, który charakteryzuje się występowaniem arachnodaktylii, widocznej w wieku około 10 lat, kamptodaktylii (paluchy młotkowe) i skoliozy. Łagodna dysmorfia twarzy, w tym szeroki nos i rozszerzone nozdrza, lekka niepełnosprawność intelektualna były również odnotowane. Zespół ten został opisany dotąd jeden raz u 3 rodzeństwa i podejrzewa się autosomalny recesywny typ dziedziczenia. Nie było żadnych dalszych opisów w literaturze od 1972 roku.	pl	2018-03-27 14:01:00	2018-05-20 10:29:00	PolandTeam	y	2014-01-01 00:00:00	
3929	101988	1563	1345	16907	Kardiomiopatia - zaćma - choroba biodra i kręgosłupa odnosi się do bardzo rzadkiej triady objawów: kardiomiopatii rozstrzeniowej, przedwczesnej zaćmy, choroby stawów biodrowych i kręgosłupa, obejmującej zwyrodnienie stawu biodrowego, nieregularne dyski międzykręgowe i platyspondylię. Pierwszymi pojawiającymi się objawami są nieprawidłowości narządu wzroku. Nie było żadnych dalszych opisów w literaturze od 1985 roku.	pl	2018-03-27 14:02:00	2018-05-20 10:32:00	PolandTeam	y	2014-01-01 00:00:00	
4109	101423	1682	1515	16907	Dysplazja czaszkowo-ektodermalna (CED) jest  rzadką chorobą rozwojową, charakteryzującą się wrodzonymi wadami szkieletowymi i ektodermalnymi, a ponadto cechami dysmorfii, nefronoftyzą, zwłóknieniem wątroby oraz anomaliami ocznymi (głównie z pigmentozą siatkówki).	pl	2018-03-27 13:49:00	2018-05-13 18:55:00	PolandTeam	y	2011-06-01 00:00:00	
4149	101993	1702	1547	16907	Kryptomikrocja - brachydaktylia - dodatkowy łuk koniuszka palca opisuje kombinację wad rozwojowych, które obejmują obustronną kryptomikrocję, brachytelomesofalangię z krótkimi środkowymi i dystalnymi paliczkami palców 2 do 5, niedorozwój paznokci i nadmiar łuków na koniuszku palców, odnotowaną w jednej rodziny (matka i syn). Kryptomikrocja - brachydaktylia - dodatkowy łuk koniuszka palca jest uważana za dziedziczoną w sposób autosomalny dominujący. Nie było żadnych dalszych opisów w literaturze od 1988 roku.	pl	2018-03-27 14:02:00	2018-05-20 10:59:00	PolandTeam	y	2014-01-01 00:00:00	
4269	101426	1777	1766	16907	Zespół niewyrównania (Dysequilibrium syndrome-DES) to niepostępujące zaburzenie móżdżku charakteryzujące się ataksją z towarzyszącą niepełnosprawnością intelektualną, opóźnieniem chodu i hipoplazją móżdżku.	pl	2018-03-27 13:49:00	2018-05-20 14:45:00	PolandTeam	y	2016-03-01 00:00:00	
4349	101429	1837	1860	16907	Dysplazja tanatoforyczna typu I (TD1) jest formą dysplazji tanatoforycznej (zobacz ten termin) i charakteryzuje się krótkimi i wygiętymi kośćmi podudzia, skróconymi kończynami, wąską klatką piersiową i brachydaktylią.	pl	2018-03-27 13:49:00	2018-05-06 18:56:00	PolandTeam	y	2013-10-01 00:00:00	
4689	101437	2043	2143	16907	Zespół Donnai i Barrowa (DBS) to rzadki, często ciężki, złożony zespół wad wrodzonych z typową dysmorfią twarzy, objawami ocznymi, utratą słuchu, agenezją ciała modzelowatego i niepełnosprawnością  intelektualną o różnym nasileniu. Często występuje wrodzona przepuklina przepony (CDH) i(lub) przepuklina pępowinowa.	pl	2018-03-27 13:49:00	2018-05-20 16:48:00	PolandTeam	y	2013-11-01 00:00:00	
4789	101440	2103	1051	16907	Zespół Ramosa i Arroyo (RAS) jest bardzo rzadką chorobą genetyczną, charakteryzującą się znieczuleniem rogówki, nieprawidłowościami w siatkówce, obustronną utratą słuchu, charakterystycznym fenotypem twarzy,  przetrwałym przewodem tętniczym, chorobą Hirschsprunga (zob. te hasła), niskim wzrostem i niepełnosprawnością intelektualną.	pl	2018-03-27 13:49:00	2018-05-20 13:36:00	PolandTeam	y	2014-08-01 00:00:00	
4969	102011	2192	2340	16907	Kolczyste rogowacenie mieszkowe wyłysiające jest rzadką genodermatozą, ujawniającą się  w niemowlęctwie lub dzieciństwie, z reguły u chłopców i charakteryzującą się rozsianym rogowaceniem mieszkowym związanym z postępującym bliznowaciejącym łysieniem w obrębie skóry głowy, brwi oraz rzęs. Ponadto może występować fotofobia, dystrofia rogówki, rumień twarzy i(lub) keratodermia dłoni i stóp. 	pl	2018-03-27 14:02:00	2018-05-20 10:53:00	PolandTeam	y	2013-01-01 00:00:00	
5009	101447	2273	2461	16907	Zespół Mardena i Walkera jest zespołem wad charakteryzującym się licznymi przykurczami stawów (artrogrypoza), maskowatą twarzą z blefarofimozą, mikrognacją, wysoko wysklepionym albo rozszczepionym podniebieniem (rozszczep podniebienia), nisko osadzonymi uszami,   zmniejszoną masą mięśniową i arachnodaktylią.	pl	2018-03-27 13:49:00	2018-05-06 19:48:00	PolandTeam	y	2013-09-01 00:00:00	
5089	101449	2376	2576	16907	Niskorosłość MULIBREY (MUL) to prenatalne zaburzenie wzrostu, które dotyczy wielu narządów.	pl	2018-03-27 13:49:00	2018-05-20 16:06:00	PolandTeam	y	2007-11-01 00:00:00	
5169	101452	2442	2674	16907	Cypryjski zespół twarzowo-nerwowo-mięśniowo-szkieletowy jest niezwykle rzadkim genetycznym zespołem wad, charakteryzującym się rzucającym się w oczy wyglądem twarzy, zmiennymi deformacjami  szkieletowymi i wadami neurologicznymi.	pl	2018-03-27 13:49:00	2018-05-20 13:21:00	PolandTeam	y	2014-08-01 00:00:00	
5249	102017	2516	2762	16907	Postępująca heteroplazja kostna (Progressive osseus heteroplasia – POH) to rzadka, genetyczna choroba kości charakteryzująca się postępującym tworzeniem się tkanki kostnej poza układem szkieletowym, które rozpoczyna się w skórze i postępuje obejmując tkankę podskórną, a następnie tkankę łączną, mięśnie i powięzi. Obraz kliniczny POH pokrywa się z innymi chorobami genetycznymi, do których należy dziedziczna osteodystrofia Albrighta, rzekoma niedoczynność przytarczyc (sprawdź te terminy), pierwotny kostniak skóry ze względu na powierzchowne kostnienie heterotopowe związane z dezaktywującymi mutacjami genu GNAS (20q13.2-q13.3), kodującym białka wiążące nukleotydy guaninowe. POH można klinicznie odróżnić na podstawie głęboko postępującego kostnienia heterotopowego.	pl	2018-03-27 14:02:00	2018-05-20 14:43:00	PolandTeam	y	2016-02-01 00:00:00	
5289	102018	2527	2777	16907	Osteoskleroza osiowa jest bardzo rzadką łagodną chorobą kostną, charakteryzującą się dysplazją kości, objawiającą się nierównomiernym stwardnieniem kośćca osiowego tułowia i głowy oraz zwiększoną zawartością minerałów w kościach.	pl	2018-03-27 14:02:00	2018-05-13 19:02:00	PolandTeam	y	2012-06-01 00:00:00	
5749	101463	2900	3242	16907	Zespół Renpenninga jest zespołem niepełnosprawności intelektualnej, sprzężonym z chromosomem X (XLMR). Charakteryzuje się niepełnosprawnością intelektualną, mikrocefalią, szczupłą sylwetką oraz umiarkowanie niskim wzrostem.	pl	2018-03-27 13:50:00	2018-05-13 19:09:00	PolandTeam	y	2012-06-01 00:00:00	
6069	101472	3297	6	16907	Niedobór karboksylazy 3-metylokrotonyl-CoA (3-MCCD) jest dziedzicznym zaburzeniem metabolizmu leucyny, charakteryzującym się bardzo zmiennym obrazem klinicznym, od przełomu metabolicznego w niemowlęctwie do braku objawów w wieku dorosłym.	pl	2018-03-27 13:50:00	2018-05-13 19:33:00	PolandTeam	y	2014-10-01 00:00:00	
6089	101473	3298	832	16907	Niedobór transferazy sukcynylo-CoA:3-ketokwasu CoA (SCOTD) polega na defekcie utylizacji ciał ketonowych i charakteryzuje się, ciężkimi, potencjalnie śmiertelnymi, napadowymi epizodami kwasicy ketonowej.	pl	2018-03-27 13:50:00	2018-05-06 17:53:00	PolandTeam	y	2013-09-01 00:00:00	
6129	101475	3327	820	16907	Zespół Sneddona (SS) jest rzadką, niezapalną zakrzepową chorobą naczyń, charakteryzującą się występowaniem objawów mózgowo-naczyniowych i siności groniastej. 	pl	2018-03-27 13:50:00	2018-05-20 12:56:00	PolandTeam	y	2013-11-01 00:00:00	
6189	101478	3362	19	16907	Acyduria 2-hydroksyglutarowa to grupa zaburzeń neurometabolicznych o szerokim spektrum klinicznym, począwszy od ciężkich przypadków noworodkowych do postaci postępujących oraz przypadków bezobjawowych, charakteryzujących się pod względem biochemicznym zwiększonym poziomem kwasu 2-hydroksyglutarowego w osoczu, płynie mózgowo-rdzeniowym i moczu.	pl	2018-03-27 13:50:00	2018-05-13 11:40:00	PolandTeam	y	2012-05-01 00:00:00	
6289	101482	3387	2965	16907	Prolaktynoma (guz prolaktynowy) to zwykle łagodny nowotwór przysadki, którego rezultatem jest hiperprolaktynemia. Do najczęstszych objawów klinicznych należą brak miesiączki i niepłodność u kobiet oraz impotencja, obniżenie libido i niepłodność  u mężczyzn.	pl	2018-03-27 13:50:00	2018-05-20 12:49:00	PolandTeam	y	2014-02-01 00:00:00	
