C001	entité clinique	Ensemble d'anomalies phénotypiques.
377794	groupe de pathologies	Entité clinique définie par un ensemble limité d'anomalies phénotypiques partagées par plusieurs maladies, syndromes malformatifs ou cliniques, anomalies morphologiques ou biologiques et situation clinique particulière dans une maladie et utilisée pour les regrouper.
377788	maladie	Entité clinique définie par un ensemble d'anomalies phénotypiques résultant d'un mécanisme physiopathologique commun, une évolution clinique et des possibilités thérapeutiques homogènes. Exclut les anomalies du développement.
377796	sous-type clinique	Sous-division d'une maladie, syndrome malformatif, anomalie morphologique, anomalie biologique, syndrome clinique ou situation clinique particulière dans une maladie définit par sa présentation clinique particulière.
377789	syndrome malformatif	Entité clinique définie par un ensemble d'anomalies morphologiques résultant d'une anomalie du développement impliquant plus d'un champ morphogénétique, quelle qu'en soit la cause. Comprend les séquences et les associations.
377795	sous-type étiologique	Sous-division d'une maladie, syndrome malformatif, anomalie morphologique, anomalie biologique ou situation clinique particulière dans une maladie ou un syndrome défini par son étiologie.
377791	anomalie morphologique	Entité clinique définie par une altération de la morphologie normale résultant d'une anomalie du développement impliquant un seul champ morphogénétique.
377792	syndrome clinique	Entité clinique définie par un ensemble d'anomalies phénotypiques avec une évolution clinique et des possibilités thérapeutiques homogènes, sans considération du mécanisme physiopathologique.
377793	situation clinique particulière dans une maladie ou un syndrome	Entité clinique définie par un ensemble d'anomalies phénotypiques se présentant dans des circonstances particulières.
377797	sous-type histopathologique	Sous-division d'une maladie, syndrome malformatif, anomalie morphologique, anomalie biologique, syndrome clinique ou situation clinique particulière dans une maladie définit par les anomalies histologiques observées dans les tissus touchés.
377790	anomalie biologique	Entité clinique définie par un ensemble d'anomalies physiologiques sans manifestations cliniques clairement associées.
C010	matériel génétique	Séquence d'ADN ou d'ARN (gène avec produit protéique, ARN non codant et locus associé à une pathologie).
410298	gène avec produit protéinique	Séquence d'ADN traduite en protéine.
410297	locus associé à une pathologie	Région chromosomique associée à une pathologie héréditaire mais sans précision sur le gène possiblement associé.
410299	ARN non codant	Transcrit d'ARN non traduit en protéine.
C005	hérédité	Mode de transmission selon lequel une entité clinique génétique est transmis à la descendance.
ObsoleteClass	classe obsolète	Numéro ORPHA supprimé de la nomenclature Orphanet des maladies rares. Cela inclut les entités dépréciées, des entités cliniques individualisées par le passé mais qui font aujourd'hui, grâce à l'évolution des connaissances, partie d'une autre entité clinique.
