C003	Epidemiologia	Liczba przypadków w populacji występujących w określonym czasie. Liczba przypadków może być wyrażona jako: liczba przypadków w ciągu roku (Częstotliwość występowania rocznie), (Prewalencja) i (lub) liczba  przypadków/rodzin (Przypadki/rodziny) opublikowanych w literaturze.	
409967	liczba przypadków w ciągu roku	Liczba nowo rozpoznanych przypadków występujących w danej populacji w ciągu 1 roku.
409969	prewalencja życiowa	Liczba przypadków osób, które w trakcie swojego życia wykazywały lub wykazują obecność danej jednostki chorobowej w  populacji generalnej.	
409970	przypadki/rodziny	Liczba przypadków lub rodzin opisanych w literaturze.
409973	przypadek	Liczba przypadków opisanych w literaturze.	
409974	rodzina	Liczba rodzin opisanych w literaturze.	
C004	prewalencja	Liczba przypadków w skali ogólnej populacji występujących w określonym czasie bądź przez określony okres czasu. Prewalencja może być obserwowana przy narodzeniu (prewalencja urodzeniowa), w określonym czasie (prewalencja punktowa) lub na przestrzeni całego życia (prewalencja życiowa).	
409966	prewalencja punktowa	Liczba przypadków w skali ogólnej populacji występujących w określonym czasie.	
409968	prewalencja urodzeniowa	Liczba przypadków zaobserwowanych podczas narodzin w odniesieniu do liczby żywo narodzonych dzieci w danym momencie.	
409980	>1/1000	Przedział prewalencji lub roczna częstotliwość zachorowań przewyższająca 1 przypadek na 1.000 osób w populacji.
409978	6-9/10.000	Przedział prewalencji lub roczna częstotliwość zachorowań od 6-9 przypadków na 10.000 osób w populacji.
409975	1-5/10.000	Przedział prewalencji lub roczna częstotliwość zachorowań od 1 do 5 przypadków na 10.000 osób w populacji. 	
409977	1-9/100.00	Przedział prewalencji lub roczna częstotliwość zachorowań od 1 do 9 przypadków na 100.000 osób w populacji.
409976	1-9/1.000.000	Przedział prewalencji lub roczna częstotliwość zachorowań od 1 do 9 przypadków na 1.000.000 osób w populacji.
409979	<1/1.000.000	Przedział prewalencji lub roczna częstotliwość zachorowań niższa niż 1 przypadek na 1.000.000 osób w populacji.	
409981	Nieznany zakres epidemiologii	W literaturze naukowej brak jest dostępnych informacji na temat prewalencji lub liczby przypadków występujących w ciągu roku.	
C025	cechuje zakres prewalencji punktowej	Zależność pomiędzy jednostką chorobową a zakresem prewalencji punktowej.	
C020	cechuje roczny zakres częstotliwości zachorowań	Zależność pomiędzy jednostką chorobową a zakresem rocznej częstotliwości zachorowań.	
C026	cechuje zakres prewalencji urodzeniowej	Zależność pomiędzy jednostką chorobową a zakresem prewalencji urodzeniowej.	
C027	cechuje zakres prewalencji życiowej	Zależność pomiędzy jednostką chorobową a zakresem prewalencji życiowej.	
C024	cechuje się średnią liczbą przypadków/rodzin	Zależność pomiędzy jednostką chorobową a liczbą przypadków/rodzin.	
C028	średnia wartość prewalencji punktowej wynosi	Zależność pomiędzy jednostką chorobową a średnią wartością jej prewalencji punktowej.	
C032	średnia wartość rocznej częstotliwości zachorowań wynosi	Zależność pomiędzy jednostką chorobową a średnią wartością rocznej częstotliwości zachorowań.
C029	średnia wartość prewalencji urodzeniowej wynosi	Zależność pomiędzy jednostką chorobową a średnią wartością jej prewalencji urodzeniowej.	
C030	średnia wartość prewalencji życiowej wynosi	Zależność pomiędzy jednostką chorobową a średnią wartością jej prewalencji życiowej.	
C005	Sposób dziedziczenia	Sposób w jaki dana choroba o podłożu genetycznym jest przekazywana potomstwu.	
